internal_id,chapter/use,source title,creator,source page,license,commercial use,modification allowed,attribution required,accessed/downloaded date,local research path,duration,file format,subjective notes,technical notes,status
G-01,Light/outside_world,Exterior-residue derivative of Room Tone_Silent room.wav,Mar.Sounds,https://freesound.org/people/Mar.Sounds/sounds/630427/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,TBD excerpt,WAV derivative planned,"Best same-room continuity if exterior residue can be separated credibly","Phase 10.2: parent F-01 unavailable and not auditioned; derivative not created",not-auditioned/parent-unavailable
G-02,Light/outside_world,Restrained derivative of Leaves rustle in the wind,Cinetony,https://freesound.org/people/Cinetony/sounds/575380/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,TBD excerpt,WAV derivative planned,"Fallback far exterior family; must not imply open window or full forest return","Parent C-01; strong distance shaping; keep below room bed",candidate
P1-WAT-01,Seed/water,Single Water Drop,paespedro,https://freesound.org/people/paespedro/sounds/174718/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,0.471 s,WAV 44.1 kHz 32-bit stereo,"Small and dry candidate but mouth-hand provenance may sound synthetic","Phase 10.2: no legal local master; no realism or level audition",not-auditioned/access-blocked
P1-WAT-02,Seed/water,water drop,IRF1010N,https://freesound.org/people/IRF1010N/sounds/661630/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,0.557 s,FLAC 44.1 kHz 16-bit mono,"Tiny alternate; mouth-made so realism must be verified","15.4 KB; mono point detail; no reverse",candidate
P1-SOIL-00,Seed/soil,No qualified candidate retained,,,none,n/a,n/a,n/a,researched 2026-08-22,,n/a,n/a,"Generic impacts and unclear matches rejected; purpose-recording recommended","Need small dry granular contact at visible scale",reject
P1-WOOD-01,Tree/wood_shift,wood creaks,seth-m,https://freesound.org/people/seth-m/sounds/269722/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,5.305 s,WAV 44.1 kHz 16-bit stereo,"Clean interims allow tiny settling fragments; reject any haunted-floor reading","Phase 10.2: no legal local master; no fragment extraction or audition",not-auditioned/access-blocked
P1-WOOD-02,Tree/wood_shift,Objects_WoodCreak_1.wav,SilentStrikeZ,https://freesound.org/people/SilentStrikeZ/sounds/389645/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,9.613 s,WAV 48 kHz 24-bit mono,"Plank alternate; may be too recognizable as creak","1.6 MB; isolate smallest weight-transfer fragments; reverse suppress",candidate
R-01,Forest/reject,2015-11-20 wind and leaves in a forest.wav,tim.kahn,https://freesound.org/people/tim.kahn/sounds/329560/,CC BY-NC 4.0,no,yes,yes,accessed 2026-08-22; not downloaded,,1105.910 s,WAV 48 kHz 24-bit stereo,"Strong recording but rights incompatible with potential commercial portfolio use","Noncommercial restriction",reject
R-02,Forest/reject,Autumn Forest Wind,Akacie,https://freesound.org/people/Akacie/sounds/73723/,CC BY-NC 4.0,no,yes,yes,accessed 2026-08-22; not downloaded,,1059.940 s,AIFF 44.1 kHz 16-bit stereo,"Seasonal but cold wet and bird content also diverges","Noncommercial restriction",reject
R-03,Threshold/reject,Dungeon Air,Flamiffer,https://freesound.org/people/Flamiffer/sounds/530161/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,151.580 s,WAV 44.1 kHz 32-bit stereo,"Processed stretch reverb and boosted bass create designed dungeon character","Fails neutral threshold aesthetic",reject
